employee_id,month,q_workload,q_alignment,q_recognition,q_growth,comment_text,sentiment_compound,survey_mean,engagement_score,engagement_band
5,2024-05,3,3,3,4,Getting used to new systems,0.0,3.25,0.54375,Moderate
5,2024-06,1,2,3,4,"Heavy workload, burnout risk",-0.2732,2.5,0.37151999999999996,Low
5,2024-07,3,4,2,3,Workload is manageable most weeks,0.0,3.0,0.5,Moderate
5,2024-08,2,2,4,1,"Heavy workload, burnout risk",-0.2732,2.25,0.32777,Low
5,2024-09,4,2,3,3,"Communication is fine, some delays",0.2023,3.0,0.530345,Moderate
5,2024-10,3,4,3,3,"Communication is fine, some delays",0.2023,3.25,0.574095,Moderate
5,2024-11,3,4,3,4,Some projects more interesting than others,0.4576,3.5,0.65614,Moderate
5,2024-12,4,3,2,3,Processes are okay but could be improved,0.6808,3.0,0.60212,Moderate
5,2025-01,5,2,3,4,Some projects more interesting than others,0.4576,3.5,0.65614,Moderate
5,2025-02,3,4,2,3,Some projects more interesting than others,0.4576,3.0,0.56864,Moderate
5,2025-03,4,3,4,4,Getting used to new systems,0.0,3.75,0.63125,Moderate
5,2025-04,2,4,3,5,Team dynamic is stable,0.5859,3.5,0.675385,Moderate
5,2025-05,2,3,2,5,Tools are adequate for my tasks,0.2263,3.0,0.533945,Moderate
5,2025-06,3,4,3,2,Team dynamic is stable,0.5859,3.0,0.587885,Moderate
5,2025-07,4,1,2,4,Too many meetings and unclear priorities,-0.25,2.75,0.41874999999999996,Moderate
5,2025-08,3,4,2,2,"Heavy workload, burnout risk",-0.2732,2.75,0.41527,Moderate
5,2025-09,4,3,1,3,Frequent reorganizations causing confusion,-0.296,2.75,0.41184999999999994,Moderate
6,2023-10,4,3,2,4,Tools are adequate for my tasks,0.2263,3.25,0.577695,Moderate
6,2023-11,3,5,2,4,Standard benefits and compensation,0.3818,3.5,0.64477,Moderate
6,2023-12,3,4,4,5,Great manager and clear goals,0.7717,4.0,0.7907549999999999,High
6,2024-01,2,3,2,2,Delivery delays and context switching,0.0,2.25,0.36875,Low
6,2024-02,3,4,2,5,Some projects more interesting than others,0.4576,3.5,0.65614,Moderate
6,2024-03,1,4,5,5,"Communication is fine, some delays",0.2023,3.75,0.6615949999999999,Moderate
6,2024-04,4,5,3,4,Challenging work with great autonomy,0.6908,4.0,0.7786199999999999,High
6,2024-05,3,3,1,5,Workload is manageable most weeks,0.0,3.0,0.5,Moderate
6,2024-06,5,4,3,3,Tools are adequate for my tasks,0.2263,3.75,0.665195,Moderate
6,2024-07,3,5,3,3,Team dynamic is stable,0.5859,3.5,0.675385,Moderate
6,2024-08,4,4,5,5,Good growth opportunities and training,0.7964,4.5,0.8819599999999999,High
6,2024-09,3,3,4,5,Team dynamic is stable,0.5859,3.75,0.719135,High
6,2024-10,5,5,5,5,Great manager and clear goals,0.7717,5.0,0.9657549999999999,High
6,2024-11,3,5,3,2,Tools are adequate for my tasks,0.2263,3.25,0.577695,Moderate
6,2024-12,3,2,2,4,Frequent reorganizations causing confusion,-0.296,2.75,0.41184999999999994,Moderate
6,2025-01,3,4,4,5,Manager provides regular feedback,0.0,4.0,0.6749999999999999,Moderate
6,2025-02,5,4,4,5,"Collaborative culture, love the projects",0.6369,4.5,0.8580349999999999,High
6,2025-03,5,3,3,4,"Communication is fine, some delays",0.2023,3.75,0.6615949999999999,Moderate
6,2025-04,5,3,3,2,Standard benefits and compensation,0.3818,3.25,0.60102,Moderate
6,2025-05,2,4,4,1,Poor recognition and slow decisions,-0.4767,2.75,0.38474499999999995,Low
6,2025-06,3,4,4,5,Team celebrates wins together,0.8126,4.0,0.7968899999999999,High
6,2025-07,3,4,2,4,Team dynamic is stable,0.5859,3.25,0.631635,Moderate
6,2025-08,4,4,4,2,Workload is manageable most weeks,0.0,3.5,0.5875,Moderate
6,2025-09,3,4,2,2,Struggling with work-life balance,-0.4215,2.75,0.39302499999999996,Low
7,2023-10,5,5,3,4,Strong leadership and transparent communication,0.5106,4.25,0.7953399999999999,High
7,2023-11,4,2,5,3,Getting used to new systems,0.0,3.5,0.5875,Moderate
7,2023-12,2,3,4,3,Workload is manageable most weeks,0.0,3.0,0.5,Moderate
7,2024-01,3,2,4,3,Processes are okay but could be improved,0.6808,3.0,0.60212,Moderate
7,2024-02,4,4,2,3,Standard benefits and compensation,0.3818,3.25,0.60102,Moderate
7,2024-03,2,3,4,1,Delivery delays and context switching,0.0,2.5,0.4125,Moderate
7,2024-04,4,4,3,3,Hybrid schedule works most of the time,0.0,3.5,0.5875,Moderate
7,2024-05,4,3,4,3,Workload is manageable most weeks,0.0,3.5,0.5875,Moderate
7,2024-06,4,3,3,3,Hybrid schedule works most of the time,0.0,3.25,0.54375,Moderate
7,2024-07,5,4,3,4,Manager provides regular feedback,0.0,4.0,0.6749999999999999,Moderate
7,2024-08,4,4,4,3,Processes are okay but could be improved,0.6808,3.75,0.73337,High
7,2024-09,4,3,5,4,Great manager and clear goals,0.7717,4.0,0.7907549999999999,High
7,2024-10,3,3,3,3,Getting used to new systems,0.0,3.0,0.5,Moderate
7,2024-11,3,5,5,4,Great manager and clear goals,0.7717,4.25,0.834505,High
7,2024-12,3,4,3,3,Team dynamic is stable,0.5859,3.25,0.631635,Moderate
7,2025-01,4,3,3,3,"Communication is fine, some delays",0.2023,3.25,0.574095,Moderate
7,2025-02,4,4,5,4,Good growth opportunities and training,0.7964,4.25,0.8382099999999999,High
7,2025-03,4,4,4,3,Getting used to new systems,0.0,3.75,0.63125,Moderate
7,2025-04,3,5,3,2,Team dynamic is stable,0.5859,3.25,0.631635,Moderate
7,2025-05,3,4,4,3,"Communication is fine, some delays",0.2023,3.5,0.617845,Moderate
7,2025-06,4,4,3,4,Tools are adequate for my tasks,0.2263,3.75,0.665195,Moderate
7,2025-07,4,3,3,3,Team dynamic is stable,0.5859,3.25,0.631635,Moderate
7,2025-08,4,3,4,4,Some projects more interesting than others,0.4576,3.75,0.6998899999999999,Moderate
7,2025-09,3,4,3,3,Hybrid schedule works most of the time,0.0,3.25,0.54375,Moderate
8,2023-10,3,4,2,5,Team dynamic is stable,0.5859,3.5,0.675385,Moderate
8,2023-11,4,5,3,4,"Collaborative culture, love the projects",0.6369,4.0,0.770535,High
8,2023-12,2,4,4,5,Tools are adequate for my tasks,0.2263,3.75,0.665195,Moderate
8,2024-01,3,3,2,4,Some projects more interesting than others,0.4576,3.0,0.56864,Moderate
8,2024-02,5,5,3,4,Strong leadership and transparent communication,0.5106,4.25,0.7953399999999999,High
8,2024-03,3,2,3,4,Getting used to new systems,0.0,3.0,0.5,Moderate
8,2024-04,3,4,4,4,Team dynamic is stable,0.5859,3.75,0.719135,High
8,2024-05,2,3,2,3,Resource constraints affecting quality,0.0,2.5,0.4125,Moderate
8,2024-06,3,4,3,5,Processes are okay but could be improved,0.6808,3.75,0.73337,High
8,2024-07,4,4,3,3,Hybrid schedule works most of the time,0.0,3.5,0.5875,Moderate
8,2024-08,2,4,4,4,Hybrid schedule works most of the time,0.0,3.5,0.5875,Moderate
8,2024-09,4,4,4,5,Great manager and clear goals,0.7717,4.25,0.834505,High
8,2024-10,3,3,4,3,Standard benefits and compensation,0.3818,3.25,0.60102,Moderate
8,2024-11,3,5,2,5,Workload is manageable most weeks,0.0,3.75,0.63125,Moderate
8,2024-12,2,4,2,3,Struggling with work-life balance,-0.4215,2.75,0.39302499999999996,Low
8,2025-01,4,5,3,4,Team celebrates wins together,0.8126,4.0,0.7968899999999999,High
8,2025-02,5,2,4,3,Hybrid schedule works most of the time,0.0,3.5,0.5875,Moderate
8,2025-03,3,5,2,4,Hybrid schedule works most of the time,0.0,3.5,0.5875,Moderate
8,2025-04,2,3,2,3,Too many meetings and unclear priorities,-0.25,2.5,0.37499999999999994,Low
8,2025-05,3,3,4,3,Processes are okay but could be improved,0.6808,3.25,0.6458699999999999,Moderate
8,2025-06,2,5,5,3,Workload is manageable most weeks,0.0,3.75,0.63125,Moderate
8,2025-07,2,4,3,3,Hybrid schedule works most of the time,0.0,3.0,0.5,Moderate
8,2025-08,3,3,2,2,"Heavy workload, burnout risk",-0.2732,2.5,0.37151999999999996,Low
8,2025-09,2,5,2,4,Workload is manageable most weeks,0.0,3.25,0.54375,Moderate
9,2023-10,4,4,5,2,Standard benefits and compensation,0.3818,3.75,0.6885199999999999,Moderate
9,2023-11,2,4,2,4,Processes are okay but could be improved,0.6808,3.0,0.60212,Moderate
9,2023-12,4,3,2,4,Team dynamic is stable,0.5859,3.25,0.631635,Moderate
9,2024-01,2,3,4,4,Hybrid schedule works most of the time,0.0,3.25,0.54375,Moderate
9,2024-02,2,2,4,3,Delivery delays and context switching,0.0,2.75,0.45624999999999993,Moderate
9,2024-03,2,4,3,3,Getting used to new systems,0.0,3.0,0.5,Moderate
9,2024-04,3,3,3,2,Lack of growth opportunities,0.4404,2.75,0.5223099999999999,Moderate
9,2024-05,3,4,2,5,Team dynamic is stable,0.5859,3.5,0.675385,Moderate
9,2024-06,4,3,5,3,"Communication is fine, some delays",0.2023,3.75,0.6615949999999999,Moderate
9,2024-07,3,5,3,3,Getting used to new systems,0.0,3.5,0.5875,Moderate
9,2024-08,5,4,3,2,Hybrid schedule works most of the time,0.0,3.5,0.5875,Moderate
9,2024-09,4,4,4,5,Challenging work with great autonomy,0.6908,4.25,0.8223699999999999,High
9,2024-10,3,3,3,3,Some projects more interesting than others,0.4576,3.0,0.56864,Moderate
9,2024-11,3,3,3,4,Hybrid schedule works most of the time,0.0,3.25,0.54375,Moderate
9,2024-12,4,5,4,3,Great manager and clear goals,0.7717,4.0,0.7907549999999999,High
9,2025-01,3,3,3,5,Processes are okay but could be improved,0.6808,3.5,0.68962,Moderate
9,2025-02,4,5,3,4,Excellent work-life balance here,0.5719,4.0,0.7607849999999998,High
9,2025-03,3,5,5,4,Strong leadership and transparent communication,0.5106,4.25,0.7953399999999999,High
9,2025-04,3,5,2,4,Some projects more interesting than others,0.4576,3.5,0.65614,Moderate
9,2025-05,4,3,3,3,Some projects more interesting than others,0.4576,3.25,0.61239,Moderate
9,2025-06,4,4,4,5,Challenging work with great autonomy,0.6908,4.25,0.8223699999999999,High
9,2025-07,4,5,2,3,Workload is manageable most weeks,0.0,3.5,0.5875,Moderate
9,2025-08,3,3,4,4,Processes are okay but could be improved,0.6808,3.5,0.68962,Moderate
9,2025-09,3,3,4,3,Workload is manageable most weeks,0.0,3.25,0.54375,Moderate
10,2023-10,4,4,3,4,Some projects more interesting than others,0.4576,3.75,0.6998899999999999,Moderate
10,2023-11,4,2,4,3,Standard benefits and compensation,0.3818,3.25,0.60102,Moderate
10,2023-12,1,3,3,2,"Heavy workload, burnout risk",-0.2732,2.25,0.32777,Low
10,2024-01,2,3,3,4,Hybrid schedule works most of the time,0.0,3.0,0.5,Moderate
10,2024-02,4,5,5,3,"Collaborative culture, love the projects",0.6369,4.25,0.8142849999999999,High
10,2024-03,2,4,4,5,Hybrid schedule works most of the time,0.0,3.75,0.63125,Moderate
10,2024-04,4,4,3,5,Team celebrates wins together,0.8126,4.0,0.7968899999999999,High
10,2024-05,3,4,3,5,Getting used to new systems,0.0,3.75,0.63125,Moderate
10,2024-06,2,3,4,4,"Communication is fine, some delays",0.2023,3.25,0.574095,Moderate
10,2024-07,3,4,4,3,Some projects more interesting than others,0.4576,3.5,0.65614,Moderate
10,2024-08,3,2,5,2,"Communication is fine, some delays",0.2023,3.0,0.530345,Moderate
10,2024-09,3,4,4,4,Tools are adequate for my tasks,0.2263,3.75,0.665195,Moderate
10,2024-10,4,4,4,4,Challenging work with great autonomy,0.6908,4.0,0.7786199999999999,High
10,2024-11,2,4,5,2,Hybrid schedule works most of the time,0.0,3.25,0.54375,Moderate
10,2024-12,4,3,2,3,Processes are okay but could be improved,0.6808,3.0,0.60212,Moderate
10,2025-01,3,5,3,3,Getting used to new systems,0.0,3.5,0.5875,Moderate
10,2025-02,5,3,3,4,Team dynamic is stable,0.5859,3.75,0.719135,High
10,2025-03,3,3,3,3,Processes are okay but could be improved,0.6808,3.0,0.60212,Moderate
10,2025-04,3,3,3,4,Workload is manageable most weeks,0.0,3.25,0.54375,Moderate
10,2025-05,3,3,3,4,Team dynamic is stable,0.5859,3.25,0.631635,Moderate
10,2025-06,3,3,3,5,Workload is manageable most weeks,0.0,3.5,0.5875,Moderate
10,2025-07,2,4,4,4,Processes are okay but could be improved,0.6808,3.5,0.68962,Moderate
10,2025-08,2,5,2,4,Hybrid schedule works most of the time,0.0,3.25,0.54375,Moderate
10,2025-09,3,1,3,2,Poor recognition and slow decisions,-0.4767,2.25,0.297245,Low
11,2023-10,2,4,2,5,Some projects more interesting than others,0.4576,3.25,0.61239,Moderate
11,2023-11,1,4,2,5,Getting used to new systems,0.0,3.0,0.5,Moderate
11,2023-12,3,4,2,4,Getting used to new systems,0.0,3.25,0.54375,Moderate
11,2024-01,3,4,2,4,Hybrid schedule works most of the time,0.0,3.25,0.54375,Moderate
11,2024-02,4,3,2,4,Some projects more interesting than others,0.4576,3.25,0.61239,Moderate
11,2024-03,3,2,4,4,Workload is manageable most weeks,0.0,3.25,0.54375,Moderate
11,2024-04,3,4,3,3,"Communication is fine, some delays",0.2023,3.25,0.574095,Moderate
11,2024-05,4,3,4,3,Some projects more interesting than others,0.4576,3.5,0.65614,Moderate
11,2024-06,4,2,4,4,Workload is manageable most weeks,0.0,3.5,0.5875,Moderate
11,2024-07,4,2,3,3,Some projects more interesting than others,0.4576,3.0,0.56864,Moderate
11,2024-08,3,3,3,4,Tools are adequate for my tasks,0.2263,3.25,0.577695,Moderate
11,2024-09,3,4,3,4,Getting used to new systems,0.0,3.5,0.5875,Moderate
11,2024-10,4,4,1,3,Tools are adequate for my tasks,0.2263,3.0,0.533945,Moderate
11,2024-11,4,5,3,5,Excellent work-life balance here,0.5719,4.25,0.804535,High
11,2024-12,4,5,3,3,Team dynamic is stable,0.5859,3.75,0.719135,High
11,2025-01,3,4,3,5,Getting used to new systems,0.0,3.75,0.63125,Moderate
11,2025-02,5,5,4,4,Good growth opportunities and training,0.7964,4.5,0.8819599999999999,High
11,2025-03,2,3,4,4,Hybrid schedule works most of the time,0.0,3.25,0.54375,Moderate
11,2025-04,3,5,5,4,Recognized for my work recently,0.0,4.25,0.71875,High
11,2025-05,4,4,2,4,Hybrid schedule works most of the time,0.0,3.5,0.5875,Moderate
11,2025-06,5,4,3,3,Workload is manageable most weeks,0.0,3.75,0.63125,Moderate
11,2025-07,3,5,3,4,Team dynamic is stable,0.5859,3.75,0.719135,High
11,2025-08,3,5,4,4,Supportive team and flexible hours,0.4767,4.0,0.746505,High
11,2025-09,2,3,5,3,Standard benefits and compensation,0.3818,3.25,0.60102,Moderate
12,2023-10,2,2,4,4,Workload is manageable most weeks,0.0,3.0,0.5,Moderate
12,2023-11,2,4,2,3,Too many meetings and unclear priorities,-0.25,2.75,0.41874999999999996,Moderate
12,2023-12,2,2,3,3,Struggling with work-life balance,-0.4215,2.5,0.34927499999999995,Low
12,2024-01,4,3,2,3,Getting used to new systems,0.0,3.0,0.5,Moderate
12,2024-02,3,2,1,2,Frequent reorganizations causing confusion,-0.296,2.0,0.28059999999999996,Low
12,2024-03,2,4,1,3,Frequent reorganizations causing confusion,-0.296,2.5,0.3680999999999999,Low
12,2024-04,2,3,2,2,Poor recognition and slow decisions,-0.4767,2.25,0.297245,Low
12,2024-05,4,3,2,2,Too many meetings and unclear priorities,-0.25,2.75,0.41874999999999996,Moderate
12,2024-06,2,4,4,3,Team dynamic is stable,0.5859,3.25,0.631635,Moderate
12,2024-07,2,5,2,3,Processes are okay but could be improved,0.6808,3.0,0.60212,Moderate
12,2024-08,2,4,2,4,"Communication is fine, some delays",0.2023,3.0,0.530345,Moderate
12,2024-09,4,5,2,4,Processes are okay but could be improved,0.6808,3.75,0.73337,High
12,2024-10,3,3,4,4,Processes are okay but could be improved,0.6808,3.5,0.68962,Moderate
12,2024-11,2,3,2,2,Lack of growth opportunities,0.4404,2.25,0.43481,Moderate
12,2024-12,3,5,4,3,Some projects more interesting than others,0.4576,3.75,0.6998899999999999,Moderate
12,2025-01,3,4,3,4,Processes are okay but could be improved,0.6808,3.5,0.68962,Moderate
12,2025-02,2,2,5,3,Hybrid schedule works most of the time,0.0,3.0,0.5,Moderate
12,2025-03,2,4,2,2,Struggling with work-life balance,-0.4215,2.5,0.34927499999999995,Low
12,2025-04,3,3,4,2,Workload is manageable most weeks,0.0,3.0,0.5,Moderate
12,2025-05,2,3,2,4,Struggling with work-life balance,-0.4215,2.75,0.39302499999999996,Low
12,2025-06,3,3,3,4,Processes are okay but could be improved,0.6808,3.25,0.6458699999999999,Moderate
12,2025-07,3,3,2,3,Unclear career progression path,-0.25,2.75,0.41874999999999996,Moderate
12,2025-08,3,4,4,3,Team dynamic is stable,0.5859,3.5,0.675385,Moderate
12,2025-09,5,3,2,4,Standard benefits and compensation,0.3818,3.5,0.64477,Moderate
13,2023-10,4,3,3,2,Tools are adequate for my tasks,0.2263,3.0,0.533945,Moderate
13,2023-11,3,3,3,3,Hybrid schedule works most of the time,0.0,3.0,0.5,Moderate
13,2023-12,4,3,4,2,Standard benefits and compensation,0.3818,3.25,0.60102,Moderate
13,2024-01,4,4,4,4,"Collaborative culture, love the projects",0.6369,4.0,0.770535,High
13,2024-02,3,3,4,4,Tools are adequate for my tasks,0.2263,3.5,0.621445,Moderate
13,2024-03,4,5,1,1,Unclear career progression path,-0.25,2.75,0.41874999999999996,Moderate
13,2024-04,1,3,3,3,Poor recognition and slow decisions,-0.4767,2.5,0.34099499999999994,Low
13,2024-05,3,3,2,2,Delivery delays and context switching,0.0,2.5,0.4125,Moderate
13,2024-06,2,3,3,4,Getting used to new systems,0.0,3.0,0.5,Moderate
13,2024-07,3,5,3,2,Standard benefits and compensation,0.3818,3.25,0.60102,Moderate
13,2024-08,3,3,3,3,Processes are okay but could be improved,0.6808,3.0,0.60212,Moderate
13,2024-09,3,3,2,1,Too many meetings and unclear priorities,-0.25,2.25,0.33125,Low
13,2024-10,4,4,1,3,Getting used to new systems,0.0,3.0,0.5,Moderate
13,2024-11,3,4,2,4,Processes are okay but could be improved,0.6808,3.25,0.6458699999999999,Moderate
